Open,High,Low,Close,Adj Close,Volume
4.728571,4.800000,4.542857,4.568571,4.568571,13554100
4.577143,4.592857,4.414286,4.450000,4.450000,17731700
4.434286,4.548571,4.360000,4.372857,4.372857,13733300
4.348571,4.500000,4.191429,4.288571,4.288571,32126500
4.342857,4.405714,4.292857,4.395714,4.395714,14245700
4.332857,4.381429,4.207143,4.221429,4.221429,13748000
4.228571,4.312857,4.080000,4.150000,4.150000,22697500
4.207143,4.412857,4.187143,4.360000,4.360000,17376800
4.347143,4.475714,4.310000,4.414286,4.414286,10858400
4.442857,4.501429,4.371429,4.390000,4.390000,9954700
4.292857,4.335714,4.171429,4.178571,4.178571,10943800
4.268571,4.317143,3.952857,4.071429,4.071429,22542800
4.071429,4.142857,3.957143,4.047143,4.047143,9060800
4.082857,4.274286,4.057143,4.228571,4.228571,11066300
4.242857,4.250000,4.122857,4.138571,4.138571,11109000
4.392857,4.774286,4.304286,4.770000,4.770000,44939300
4.750000,4.977143,4.685714,4.910000,4.910000,28010500
4.928571,4.992857,4.795714,4.874286,4.874286,16274300
5.155714,5.172857,4.814286,5.051429,5.051429,38566500
5.171429,5.244286,5.017143,5.025714,5.025714,15334900
5.008571,5.205714,4.972857,5.100000,5.100000,11547200
5.072857,5.140000,5.007143,5.085714,5.085714,9832900
5.105714,5.194286,5.000000,5.090000,5.090000,8607200
5.257143,5.448571,5.235714,5.378571,5.378571,23144100
5.422857,5.517143,5.294286,5.387143,5.387143,14596400
5.432857,5.477143,5.152857,5.227143,5.227143,15402100
5.142857,5.221429,5.114286,5.214286,5.214286,10341800
